domain1,N_vectensis,T_adhaerens,C_elegans,D_melanogaster,L_gigantea,Sea_urchin,B_floridae,C_intestinalis,P_marinus,D_rerio,T_rubripes,X_tropicalis,G_gallus,M_musculus,H_sapiens,
PF00169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF05557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF11971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15053,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,
PF00153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06951,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,
PF03542,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF11864,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF02145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14963,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,
PF00505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF09011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03866,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF14983,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,
PF00246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13620,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07720,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10545,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF02750,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02078,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15163,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,
PF12796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF17286,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,
PF06078,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
PF03337,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
PF13520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF05066,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
PF14646,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF09342,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF07732,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07731,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08376,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,
PF14566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01146,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
PF13863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07967,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,
PF00850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF11768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF17005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15971,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
PF00551,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16727,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,
PF11799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16589,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14377,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF16759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF11798,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
PF14977,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,
PF02156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF00122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14529,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,
PF02852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00474,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00416,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,
PF07679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04777,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00797,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,
PF00022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00770,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF12795,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,
PF05109,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,
PF00611,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02274,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00229,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,
PF12831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04145,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF08565,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF03234,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,
PF08564,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF14712,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06832,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08374,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,
PF08149,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,
PF04129,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,
PF00098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14787,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF05368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF09763,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF06148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06419,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF07889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08398,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,
PF17345,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF13445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10629,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,
PF00365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06083,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15924,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00534,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF13692,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16987,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,
PF00189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07650,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01124,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF00071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04670,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14461,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF05773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF09744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16471,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF04818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02456,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,
PF09439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10662,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF02136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10429,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,
PF15297,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,
PF07287,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,
PF00955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00359,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
PF07565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
